"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Prostějov","12,5 °C","3,9 °C","56%","6,2 °C","16,0 °C","-2,5 °C","-3,4 °C","30/10/2021 19:00:00"
"Praha-Karlov","9,8 °C","3,1 °C","63%"," "," "," "," ","30/10/2021 19:00:00"
"Košetice","8,7 °C","1,9 °C","63%","8,5 °C","13,6 °C","4,8 °C","1,4 °C","30/10/2021 19:00:00"
"Polom","9,0 °C","-0,1 °C","53%","8,3 °C","12,5 °C","4,7 °C","3,9 °C","30/10/2021 19:00:00"
"Čáslav","11,8 °C","2,7 °C","54%","10,9 °C","16,2 °C","6,5 °C","-2,3 °C","30/10/2021 19:00:00"
"Milešovka","6,8 °C","3,2 °C","78%","4,0 °C","7,6 °C","1,0 °C","-0,2 °C","30/10/2021 19:00:00"
"Lysá hora","4,8 °C","0,5 °C","74%","6,0 °C","8,3 °C","3,6 °C","2,8 °C","30/10/2021 19:00:00"
"Ostrava-Mošnov","12,3 °C","1,6 °C","48%","10,4 °C","18,0 °C","4,9 °C","0,3 °C","30/10/2021 19:00:00"
"Přimda","6,3 °C","2,9 °C","79%","2,5 °C","3,7 °C","0,4 °C","-0,3 °C","30/10/2021 19:00:00"
"Tušimice","4,9 °C","2,9 °C","87%","3,4 °C","8,8 °C","-1,3 °C","-3,3 °C","30/10/2021 19:00:00"
"Praha-Ruzyně","9,1 °C","2,4 °C","63%","5,2 °C","13,3 °C","-2,4 °C","-3,5 °C","30/10/2021 19:00:00"
"Plzeň-Mikulka","4,8 °C","3,5 °C","91%","3,4 °C","10,3 °C","-0,6 °C","-0,8 °C","30/10/2021 19:00:00"
"Šerák","3,6 °C","0,9 °C","82%","5,1 °C","8,8 °C","2,9 °C","2,2 °C","30/10/2021 19:00:00"
"Temelín","8,7 °C","2,7 °C","66%","7,9 °C","14,6 °C","2,5 °C","-1,3 °C","30/10/2021 19:00:00"
"Kuchařovice","9,1 °C","4,3 °C","72%","8,7 °C","13,8 °C","4,0 °C","1,5 °C","30/10/2021 19:00:00"
"Náměšť nad Oslavou","9,1 °C","4,3 °C","72%","7,7 °C","12,5 °C","3,4 °C","1,6 °C","30/10/2021 19:00:00"
"Ústí nad Labem","7,9 °C","3,2 °C","72%","7,5 °C","11,3 °C","0,9 °C","-1,7 °C","30/10/2021 19:00:00"
"Maruška","10,2 °C","3,0 °C","61%","9,7 °C","12,4 °C","6,6 °C","8,1 °C","30/10/2021 19:00:00"
"Pardubice","11,4 °C","2,3 °C","53%","8,5 °C","16,8 °C","0,4 °C","-1,2 °C","30/10/2021 19:00:00"
"Brno-Tuřany","11,6 °C","3,9 °C","59%","7,9 °C","14,9 °C","3,6 °C","1,0 °C","30/10/2021 19:00:00"
"Cheb","6,6 °C","3,8 °C","82%","3,0 °C","8,4 °C","0,0 °C","-3,5 °C","30/10/2021 19:00:00"
"Svratouch","7,8 °C","2,7 °C","70%","7,0 °C","11,4 °C","3,3 °C","2,7 °C","30/10/2021 19:00:00"
"Červená u Libavé","9,2 °C","2,5 °C","63%","8,0 °C","12,3 °C","4,4 °C","5,8 °C","30/10/2021 19:00:00"
"Přibyslav","9,3 °C","3,7 °C","68%","8,0 °C","12,7 °C","3,5 °C","2,5 °C","30/10/2021 19:00:00"
"České Budějovice","8,8 °C","2,8 °C","66%","7,1 °C","15,3 °C","-2,5 °C","-6,3 °C","30/10/2021 19:00:00"
"Jičín","10,6 °C","4,4 °C","65%","8,3 °C","16,2 °C","4,1 °C","0,9 °C","31/10/2021 20:00:00"
"Liberec","10,4 °C","3,9 °C","64%","10,4 °C","14,8 °C","7,1 °C","5,8 °C","31/10/2021 20:00:00"
"Plzeň-Mikulka","7,3 °C","4,4 °C","82%","4,9 °C","11,5 °C","-0,6 °C","-2,7 °C","31/10/2021 20:00:00"
"Kuchařovice","9,9 °C","5,3 °C","73%","7,5 °C","13,3 °C","4,0 °C","2,0 °C","31/10/2021 20:00:00"
"Kostelní Myslová","7,6 °C","4,2 °C","79%","6,8 °C","12,2 °C","3,0 °C","0,3 °C","31/10/2021 20:00:00"
"Náměšť nad Oslavou","8,8 °C","4,7 °C","76%","7,9 °C","12,6 °C","4,1 °C","2,9 °C","31/10/2021 20:00:00"
"Milešovka","5,1 °C","4,4 °C","95%","5,7 °C","8,2 °C","1,2 °C","1,8 °C","31/10/2021 20:00:00"
"Doksany","8,8 °C","3,8 °C","71%","5,2 °C","15,9 °C","-2,3 °C","-3,6 °C","31/10/2021 20:00:00"
"Ústí nad Orlicí","9,7 °C","4,1 °C","68%","10,7 °C","15,6 °C","5,3 °C","4,6 °C","31/10/2021 20:00:00"
"Svratouch","7,4 °C","3,8 °C","78%","7,3 °C","11,5 °C","3,9 °C","4,0 °C","31/10/2021 20:00:00"
"Praha-Libuš","8,9 °C","4,4 °C","73%","6,8 °C","16,3 °C","-2,0 °C","0,9 °C","31/10/2021 20:00:00"
"Churáňov","7,1 °C","1,8 °C","69%","11,5 °C","17,6 °C","6,4 °C","-0,6 °C","31/10/2021 20:00:00"
"Cheb","8,4 °C","4,4 °C","76%","5,7 °C","11,4 °C","0,3 °C","0,4 °C","31/10/2021 20:00:00"
"Přibyslav","8,5 °C","4,9 °C","78%","7,7 °C","12,5 °C","3,6 °C","3,9 °C","31/10/2021 20:00:00"
"České Budějovice","4,0 °C","3,0 °C","93%","6,2 °C","16,0 °C","-2,5 °C","-1,7 °C","31/10/2021 20:00:00"
"Lysá hora","4,4 °C","-0,3 °C","72%","5,1 °C","8,2 °C","3,1 °C","2,4 °C","31/10/2021 20:00:00"
"Praha-Ruzyně","7,0 °C","4,1 °C","82%","6,2 °C","14,1 °C","-0,6 °C","-0,7 °C","31/10/2021 20:00:00"
"Brno-Tuřany","10,1 °C","4,7 °C","69%","10,8 °C","14,9 °C","6,5 °C","2,8 °C","31/10/2021 20:00:00"
"Kopisty"," "," "," ","5,2 °C","13,4 °C","-1,8 °C","-3,0 °C","31/10/2021 20:00:00"
"Ostrava-Mošnov","9,9 °C","2,0 °C","58%","14,4 °C","18,3 °C","6,8 °C","0,7 °C","31/10/2021 20:00:00"
"Košetice","9,0 °C","4,6 °C","74%","8,0 °C","12,6 °C","4,2 °C","0,2 °C","31/10/2021 20:00:00"
"Polom","9,0 °C","2,8 °C","65%","9,2 °C","13,1 °C","7,2 °C","4,9 °C","31/10/2021 20:00:00"
"Pec pod Sněžkou","3,7 °C","2,5 °C","92%","3,7 °C","12,3 °C","-1,4 °C","-1,6 °C","31/10/2021 20:00:00"
"Pardubice","8,3 °C","4,2 °C","76%","10,5 °C","17,3 °C","3,3 °C","-0,3 °C","31/10/2021 20:00:00"
"Dukovany","9,2 °C","4,6 °C","73%","9,3 °C","13,4 °C","5,0 °C","3,6 °C","31/10/2021 20:00:00"
"Přimda","5,1 °C","3,9 °C","92%","5,2 °C","11,6 °C","-0,1 °C","2,6 °C","31/10/2021 20:00:00"
"Maruška","9,2 °C","1,9 °C","60%","10,2 °C","12,6 °C","7,8 °C","6,9 °C","31/10/2021 20:00:00"
"Praha-Kbely","6,8 °C","3,8 °C","81%","6,7 °C","15,7 °C","-0,9 °C","0,0 °C","31/10/2021 20:00:00"
"Tušimice","5,0 °C","3,3 °C","89%","4,4 °C","10,6 °C","-1,6 °C","-0,8 °C","31/10/2021 20:00:00"
"Červená u Libavé","8,2 °C","1,4 °C","62%","9,5 °C","13,2 °C","7,0 °C","5,7 °C","31/10/2021 20:00:00"
"Šerák","5,7 °C","0,1 °C","67%","4,5 °C","7,1 °C","2,3 °C","1,9 °C","31/10/2021 20:00:00"
"Holešov","9,6 °C","2,7 °C","62%","12,8 °C","16,8 °C","7,6 °C","5,9 °C","31/10/2021 20:00:00"
"Ústí nad Labem","10,3 °C","4,7 °C","68%","8,5 °C","13,6 °C","4,2 °C","0,1 °C","31/10/2021 20:00:00"
"Prostějov","7,6 °C","2,9 °C","72%","10,9 °C","16,1 °C","1,3 °C","-1,5 °C","31/10/2021 20:00:00"
"Karlovy Vary","4,2 °C","2,9 °C","91%","4,5 °C","9,3 °C","-1,9 °C","-1,2 °C","31/10/2021 20:00:00"
"Luká","9,0 °C","3,6 °C","69%","9,8 °C","13,9 °C","5,3 °C","2,0 °C","31/10/2021 20:00:00"
"Praha-Karlov","9,5 °C","5,0 °C","74%"," "," "," "," ","31/10/2021 20:00:00"
"Čáslav","11,1 °C","4,5 °C","63%","11,1 °C","15,6 °C","6,5 °C","1,3 °C","31/10/2021 20:00:00"
"Temelín","8,0 °C","6,0 °C","87%","7,5 °C","13,8 °C","2,4 °C","1,4 °C","31/10/2021 20:00:00"
"Kocelovice","5,3 °C","4,0 °C","91%","5,9 °C","12,8 °C","-0,3 °C","-0,4 °C","31/10/2021 20:00:00"
"Polom","7,2 °C","4,3 °C","82%","9,4 °C","12,6 °C","6,2 °C","4,3 °C","01/11/2021 20:00:00"
"Kopisty"," "," "," ","6,5 °C","14,2 °C","0,5 °C","-3,4 °C","01/11/2021 20:00:00"
"Luká","8,9 °C","4,5 °C","74%","9,2 °C","13,6 °C","5,5 °C","3,9 °C","01/11/2021 20:00:00"
"Tušimice","6,4 °C","5,8 °C","96%","4,9 °C","12,5 °C","0,2 °C","-1,2 °C","01/11/2021 20:00:00"
"Čáslav","8,3 °C","5,3 °C","81%","11,1 °C","15,0 °C","7,5 °C","2,3 °C","01/11/2021 20:00:00"
"Ostrava-Mošnov","13,0 °C","5,4 °C","60%","9,5 °C","18,1 °C","6,3 °C","-1,1 °C","01/11/2021 20:00:00"
"Dukovany","9,6 °C","5,6 °C","76%","9,0 °C","13,3 °C","5,2 °C","5,2 °C","01/11/2021 20:00:00"
"České Budějovice","6,9 °C","6,3 °C","96%","4,5 °C","10,2 °C","1,4 °C","0,2 °C","01/11/2021 20:00:00"
"Svratouch","6,7 °C","4,7 °C","87%","7,4 °C","10,7 °C","4,4 °C","3,7 °C","01/11/2021 20:00:00"
"Prostějov","11,0 °C","4,5 °C","64%","9,0 °C","16,3 °C","1,3 °C","-1,9 °C","01/11/2021 20:00:00"
"Kostelní Myslová","5,9 °C","4,1 °C","88%","7,0 °C","10,8 °C","3,5 °C","3,5 °C","01/11/2021 20:00:00"
"Holešov","11,7 °C","4,4 °C","61%","11,3 °C","16,8 °C","7,2 °C","5,8 °C","01/11/2021 20:00:00"
"Ústí nad Labem","6,6 °C","6,2 °C","98%","9,7 °C","14,1 °C","4,1 °C","-0,6 °C","01/11/2021 20:00:00"
"Praha-Kbely","7,1 °C","6,3 °C","95%","8,7 °C","14,7 °C","1,9 °C","0,0 °C","01/11/2021 20:00:00"
"Plzeň-Mikulka","5,8 °C","5,5 °C","98%","7,9 °C","16,1 °C","0,2 °C","-3,2 °C","01/11/2021 20:00:00"
"Cheb","6,9 °C","6,3 °C","96%","8,3 °C","15,6 °C","2,0 °C","-2,0 °C","01/11/2021 20:00:00"
"Náměšť nad Oslavou","9,0 °C","5,8 °C","81%","8,3 °C","12,0 °C","5,0 °C","3,0 °C","01/11/2021 20:00:00"
"Praha-Ruzyně","6,7 °C","6,4 °C","98%","7,8 °C","14,2 °C","1,1 °C","-0,3 °C","01/11/2021 20:00:00"
"Červená u Libavé","8,0 °C","4,0 °C","76%","8,8 °C","12,9 °C","5,7 °C","4,5 °C","01/11/2021 20:00:00"
"Přibyslav","7,2 °C","5,7 °C","90%","8,3 °C","12,0 °C","4,9 °C","4,1 °C","01/11/2021 20:00:00"
"Brno-Tuřany","10,7 °C","5,9 °C","72%","10,6 °C","14,6 °C","5,7 °C","3,3 °C","01/11/2021 20:00:00"
"Kocelovice","6,7 °C","6,4 °C","98%","6,3 °C","11,8 °C","1,5 °C","-0,1 °C","01/11/2021 20:00:00"
"Košetice","6,6 °C","4,9 °C","89%","8,5 °C","12,2 °C","4,1 °C","1,9 °C","01/11/2021 20:00:00"
"Kuchařovice","7,1 °C","5,1 °C","87%","9,6 °C","13,7 °C","5,6 °C","4,8 °C","01/11/2021 20:00:00"
"Lysá hora","2,6 °C","2,3 °C","98%","5,1 °C","9,0 °C","1,2 °C","0,7 °C","01/11/2021 20:00:00"
"Temelín","6,7 °C","6,7 °C","100%","7,6 °C","10,5 °C","4,5 °C","1,4 °C","01/11/2021 20:00:00"
"Ústí nad Orlicí","9,8 °C","5,6 °C","75%","10,0 °C","14,5 °C","6,5 °C","5,0 °C","01/11/2021 20:00:00"
"Praha-Libuš","7,3 °C","6,6 °C","96%","9,1 °C","15,2 °C","3,5 °C","-1,1 °C","01/11/2021 20:00:00"
"Pec pod Sněžkou","5,7 °C","4,3 °C","91%","5,0 °C","11,7 °C","0,7 °C","-0,4 °C","01/11/2021 20:00:00"
"Doksany","6,8 °C","5,2 °C","90%","7,5 °C","15,3 °C","-0,6 °C","-4,3 °C","01/11/2021 20:00:00"
"Pardubice","9,5 °C","5,0 °C","73%","9,9 °C","15,9 °C","1,9 °C","-1,2 °C","01/11/2021 20:00:00"
"Šerák","2,1 °C","2,1 °C","100%","5,9 °C","8,2 °C","1,9 °C","2,1 °C","01/11/2021 20:00:00"
"Maruška","8,5 °C","4,3 °C","75%","9,8 °C","13,4 °C","7,3 °C","6,7 °C","01/11/2021 20:00:00"
"Jičín","9,2 °C","5,5 °C","77%","10,4 °C","14,9 °C","4,2 °C","1,0 °C","01/11/2021 20:00:00"
"Churáňov","3,7 °C","3,1 °C","96%","9,9 °C","16,1 °C","2,7 °C","0,7 °C","01/11/2021 20:00:00"
"Přimda","4,7 °C","4,6 °C","99%","7,4 °C","11,3 °C","3,9 °C","0,6 °C","01/11/2021 20:00:00"
"Liberec","8,1 °C","4,6 °C","79%","10,4 °C","13,9 °C","6,9 °C","5,3 °C","01/11/2021 20:00:00"
"Karlovy Vary","5,6 °C","4,9 °C","95%","5,7 °C","13,3 °C","0,4 °C","-2,6 °C","01/11/2021 20:00:00"
"Milešovka","5,1 °C","5,1 °C","100%","5,4 °C","9,3 °C","3,2 °C","1,3 °C","01/11/2021 20:00:00"
"Praha-Karlov","7,7 °C","6,6 °C","93%"," "," "," "," ","01/11/2021 20:00:00"
"Lysá hora","0,5 °C","0,4 °C","99%","3,0 °C","6,5 °C","1,6 °C","2,6 °C","02/11/2021 20:00:00"
"Plzeň-Mikulka","7,3 °C","5,2 °C","86%","4,7 °C","6,3 °C","0,8 °C","5,0 °C","02/11/2021 20:00:00"
"Holešov","7,1 °C","5,6 °C","90%","11,3 °C","15,2 °C","7,3 °C","7,9 °C","02/11/2021 20:00:00"
"Pec pod Sněžkou","2,9 °C","2,6 °C","98%","5,5 °C","10,4 °C","1,3 °C","3,0 °C","02/11/2021 20:00:00"
"Prostějov","7,5 °C","6,8 °C","95%","9,9 °C","15,3 °C","4,5 °C","7,1 °C","02/11/2021 20:00:00"
"Ústí nad Orlicí","5,7 °C","4,9 °C","95%","10,0 °C","14,1 °C","5,9 °C","5,7 °C","02/11/2021 20:00:00"
"Dukovany","5,2 °C","3,4 °C","88%","8,5 °C","11,9 °C","5,1 °C","4,4 °C","02/11/2021 20:00:00"
"Luká","4,9 °C","4,8 °C","99%","8,9 °C","13,0 °C","5,7 °C","5,6 °C","02/11/2021 20:00:00"
"Přibyslav","5,4 °C","4,2 °C","92%","7,4 °C","9,6 °C","4,1 °C","3,8 °C","02/11/2021 20:00:00"
"Kopisty"," "," "," ","5,2 °C","7,2 °C","0,5 °C","5,7 °C","02/11/2021 20:00:00"
"Jičín"," "," "," ","8,7 °C","12,9 °C","5,7 °C","6,1 °C","02/11/2021 20:00:00"
"Praha-Ruzyně","5,9 °C","4,9 °C","93%","6,3 °C","9,0 °C","1,6 °C","5,5 °C","02/11/2021 20:00:00"
"Liberec","6,7 °C","5,6 °C","93%","8,6 °C","10,5 °C","5,2 °C","4,9 °C","02/11/2021 20:00:00"
"Čáslav","6,9 °C","4,9 °C","87%","8,6 °C","10,9 °C","6,3 °C","5,7 °C","02/11/2021 20:00:00"
"Praha-Libuš","6,6 °C","3,9 °C","83%","7,2 °C","9,8 °C","4,5 °C","5,4 °C","02/11/2021 20:00:00"
"Praha-Kbely","6,2 °C","3,7 °C","84%","6,9 °C","10,4 °C","2,8 °C","5,5 °C","02/11/2021 20:00:00"
"Kuchařovice","6,6 °C","4,9 °C","89%","8,0 °C","12,2 °C","5,4 °C","4,9 °C","02/11/2021 20:00:00"
"Pardubice","7,1 °C","6,2 °C","94%","8,4 °C","13,2 °C","3,1 °C","5,8 °C","02/11/2021 20:00:00"
"Temelín","5,8 °C","4,9 °C","94%","6,7 °C","7,4 °C","3,8 °C","3,7 °C","02/11/2021 20:00:00"
"Náměšť nad Oslavou","4,6 °C","3,6 °C","93%","8,1 °C","10,6 °C","4,3 °C","3,5 °C","02/11/2021 20:00:00"
"Milešovka","4,0 °C","3,6 °C","97%","4,4 °C","5,8 °C","3,0 °C","2,9 °C","02/11/2021 20:00:00"
"Maruška","4,8 °C","4,8 °C","100%","8,8 °C","11,9 °C","6,1 °C","6,6 °C","02/11/2021 20:00:00"
"Kocelovice","5,5 °C","3,8 °C","89%","5,9 °C","7,6 °C","3,6 °C","4,5 °C","02/11/2021 20:00:00"
"Karlovy Vary","5,4 °C","3,7 °C","89%","4,6 °C","6,9 °C","1,4 °C","4,2 °C","02/11/2021 20:00:00"
"Churáňov","2,1 °C","1,5 °C","96%","5,2 °C","14,0 °C","0,0 °C","0,0 °C","02/11/2021 20:00:00"
"Brno-Tuřany","6,5 °C","5,9 °C","96%","9,8 °C","13,8 °C","6,1 °C","6,1 °C","02/11/2021 20:00:00"
"Košetice","4,2 °C","3,2 °C","93%","6,4 °C","7,4 °C","4,0 °C","3,1 °C","02/11/2021 20:00:00"
"Ostrava-Mošnov","7,7 °C","7,3 °C","97%","13,1 °C","16,9 °C","7,7 °C","7,3 °C","02/11/2021 20:00:00"
"Červená u Libavé","3,4 °C","3,0 °C","97%","8,1 °C","12,1 °C","5,4 °C","5,5 °C","02/11/2021 20:00:00"
"Přimda","4,5 °C","4,2 °C","99%","5,6 °C","7,6 °C","4,1 °C","3,9 °C","02/11/2021 20:00:00"
"Cheb","5,4 °C","4,5 °C","94%","6,2 °C","8,4 °C","2,5 °C","5,6 °C","02/11/2021 20:00:00"
"Kostelní Myslová","4,9 °C","3,9 °C","93%","6,0 °C","7,0 °C","3,2 °C","2,7 °C","02/11/2021 20:00:00"
"Polom","4,1 °C","4,0 °C","99%","8,1 °C","11,8 °C","3,8 °C","4,2 °C","02/11/2021 20:00:00"
"Praha-Karlov","7,2 °C","5,0 °C","86%"," "," "," "," ","02/11/2021 20:00:00"
"České Budějovice","6,4 °C","4,1 °C","85%","6,9 °C","8,1 °C","4,3 °C","3,4 °C","02/11/2021 20:00:00"
"Tušimice","6,2 °C","4,6 °C","89%","5,5 °C","7,5 °C","0,6 °C","5,3 °C","02/11/2021 20:00:00"
"Šerák","-0,3 °C","-0,3 °C","100%","3,1 °C","5,7 °C","0,8 °C","1,3 °C","02/11/2021 20:00:00"
"Doksany","6,2 °C","3,9 °C","85%","5,5 °C","8,2 °C","0,1 °C","5,8 °C","02/11/2021 20:00:00"
"Svratouch","3,5 °C","3,0 °C","97%","6,0 °C","9,8 °C","2,8 °C","2,8 °C","02/11/2021 20:00:00"
"Ústí nad Labem","5,8 °C","4,3 °C","90%","6,2 °C","7,3 °C","4,5 °C","5,2 °C","02/11/2021 20:00:00"
"Doksany","7,6 °C","5,0 °C","83%","7,2 °C","12,3 °C","0,6 °C","-2,5 °C","03/11/2021 20:00:00"
"Ústí nad Labem","7,2 °C","4,6 °C","83%","6,6 °C","9,5 °C","3,7 °C","1,5 °C","03/11/2021 20:00:00"
"Holešov","10,4 °C","5,7 °C","72%","7,3 °C","8,1 °C","2,1 °C","0,5 °C","03/11/2021 20:00:00"
"Jičín","9,2 °C","6,7 °C","84%"," ","8,8 °C","6,3 °C"," ","03/11/2021 20:00:00"
"Luká","7,4 °C","6,5 °C","94%","5,6 °C","7,0 °C","0,3 °C","-1,6 °C","03/11/2021 20:00:00"
"Polom","7,2 °C","6,0 °C","92%","3,9 °C","4,8 °C","2,8 °C","1,2 °C","03/11/2021 20:00:00"
"Karlovy Vary","4,6 °C","3,7 °C","94%","5,8 °C","8,2 °C","0,4 °C","-1,9 °C","03/11/2021 20:00:00"
"Kostelní Myslová","7,8 °C","6,8 °C","94%","4,8 °C","9,0 °C","-1,1 °C","-3,6 °C","03/11/2021 20:00:00"
"Šerák","2,6 °C","2,6 °C","100%","0,3 °C","0,8 °C","-0,8 °C","-0,2 °C","03/11/2021 20:00:00"
"Dukovany","9,3 °C","7,7 °C","90%","6,1 °C","9,7 °C","-0,5 °C","-2,2 °C","03/11/2021 20:00:00"
"Lysá hora","2,8 °C","2,6 °C","99%","1,3 °C","2,3 °C","0,1 °C","-0,3 °C","03/11/2021 20:00:00"
"Plzeň-Mikulka","6,7 °C","4,3 °C","84%","7,4 °C","11,7 °C","2,3 °C","-0,9 °C","03/11/2021 20:00:00"
"Churáňov","5,7 °C","2,3 °C","79%","1,9 °C","5,3 °C","-1,1 °C","-5,3 °C","03/11/2021 20:00:00"
"Kuchařovice","9,7 °C","8,8 °C","94%","6,9 °C","10,3 °C","0,2 °C","-2,0 °C","03/11/2021 20:00:00"
"Temelín","7,0 °C","7,0 °C","100%","6,3 °C","10,4 °C","1,9 °C","-0,7 °C","03/11/2021 20:00:00"
"Kocelovice","5,1 °C","5,0 °C","99%","5,9 °C","9,5 °C","-0,9 °C","-3,2 °C","03/11/2021 20:00:00"
"Brno-Tuřany","9,5 °C","7,4 °C","87%","6,9 °C","9,3 °C","2,4 °C","1,2 °C","03/11/2021 20:00:00"
"Liberec","7,9 °C","4,5 °C","79%","6,4 °C","8,4 °C","4,7 °C","2,6 °C","03/11/2021 20:00:00"
"Čáslav","9,1 °C","6,4 °C","83%","7,1 °C","10,9 °C","1,8 °C","-3,5 °C","03/11/2021 20:00:00"
"Pec pod Sněžkou","4,6 °C","3,7 °C","94%","4,0 °C","6,1 °C","1,4 °C","1,3 °C","03/11/2021 20:00:00"
"Červená u Libavé","6,9 °C","5,1 °C","88%","4,1 °C","5,5 °C","2,5 °C","2,4 °C","03/11/2021 20:00:00"
"Cheb","6,0 °C","4,6 °C","91%","6,8 °C","9,8 °C","3,4 °C","0,7 °C","03/11/2021 20:00:00"
"Kopisty"," "," "," ","7,4 °C","10,7 °C","2,2 °C","-2,4 °C","03/11/2021 20:00:00"
"Přibyslav","8,7 °C","7,8 °C","94%","5,1 °C","7,5 °C","1,1 °C","-0,3 °C","03/11/2021 20:00:00"
"Ostrava-Mošnov","12,1 °C","5,7 °C","65%","7,9 °C","9,1 °C","2,4 °C","-0,9 °C","03/11/2021 20:00:00"
"Praha-Libuš","7,8 °C","5,1 °C","83%","7,7 °C","11,7 °C","2,9 °C","-1,2 °C","03/11/2021 20:00:00"
"Praha-Ruzyně","6,9 °C","5,3 °C","90%","7,4 °C","10,5 °C","2,1 °C","-0,3 °C","03/11/2021 20:00:00"
"Praha-Karlov","8,1 °C","5,9 °C","86%"," "," "," "," ","03/11/2021 20:00:00"
"Maruška","8,4 °C","4,9 °C","79%","5,1 °C","6,2 °C","3,3 °C","2,6 °C","03/11/2021 20:00:00"
"Svratouch","6,7 °C","6,5 °C","99%","3,9 °C","5,5 °C","1,9 °C","-0,2 °C","03/11/2021 20:00:00"
"Přimda","4,2 °C","4,1 °C","100%","4,9 °C","7,5 °C","1,2 °C","-1,3 °C","03/11/2021 20:00:00"
"Milešovka","3,4 °C","3,4 °C","100%","4,5 °C","7,3 °C","1,7 °C","0,2 °C","03/11/2021 20:00:00"
"Praha-Kbely","7,3 °C","6,1 °C","92%","7,6 °C","10,8 °C","2,6 °C","0,0 °C","03/11/2021 20:00:00"
"Náměšť nad Oslavou","7,8 °C","7,6 °C","98%","5,3 °C","8,5 °C","0,0 °C","-4,1 °C","03/11/2021 20:00:00"
"Ústí nad Orlicí","8,6 °C","6,8 °C","89%","5,9 °C","7,2 °C","0,1 °C","-2,3 °C","03/11/2021 20:00:00"
"Pardubice","10,4 °C","7,5 °C","82%","7,2 °C","10,4 °C","2,9 °C","-1,1 °C","03/11/2021 20:00:00"
"Košetice","8,1 °C","6,2 °C","88%","5,6 °C","8,5 °C","0,9 °C","-3,4 °C","03/11/2021 20:00:00"
"České Budějovice","8,3 °C","6,5 °C","89%","6,9 °C","12,7 °C","0,9 °C","-1,7 °C","03/11/2021 20:00:00"
"Prostějov","9,9 °C","7,0 °C","82%","7,1 °C","9,0 °C","1,3 °C","-1,3 °C","03/11/2021 20:00:00"
"Tušimice","6,6 °C","4,3 °C","85%","7,3 °C","11,9 °C","1,7 °C","-1,5 °C","03/11/2021 20:00:00"
"Luká","5,0 °C","1,7 °C","79%","5,5 °C","8,9 °C","0,2 °C","7,3 °C","04/11/2021 20:00:00"
"Košetice","5,4 °C","2,2 °C","80%","5,8 °C","9,8 °C","0,3 °C","6,7 °C","04/11/2021 20:00:00"
"Cheb","5,3 °C","3,0 °C","85%","6,2 °C","10,7 °C","3,3 °C","5,0 °C","04/11/2021 20:00:00"
"Šerák","-1,1 °C","-1,1 °C","100%","1,6 °C","5,9 °C","-1,0 °C","3,2 °C","04/11/2021 20:00:00"
"Ostrava-Mošnov","8,4 °C","4,2 °C","75%","10,4 °C","14,3 °C","3,8 °C","6,7 °C","04/11/2021 20:00:00"
"Liberec","6,3 °C","3,7 °C","84%","8,0 °C","10,7 °C","4,7 °C","7,6 °C","04/11/2021 20:00:00"
"Lysá hora","0,2 °C","0,2 °C","100%","2,3 °C","5,5 °C","0,2 °C","3,0 °C","04/11/2021 20:00:00"
"Karlovy Vary","4,3 °C","2,8 °C","90%","4,5 °C","8,8 °C","1,7 °C","3,9 °C","04/11/2021 20:00:00"
"Kuchařovice","5,2 °C","1,7 °C","78%","6,6 °C","10,2 °C","0,2 °C","8,5 °C","04/11/2021 20:00:00"
"Kostelní Myslová","4,2 °C","1,2 °C","80%","5,2 °C","8,7 °C","-0,8 °C","7,8 °C","04/11/2021 20:00:00"
"Praha-Kbely","6,9 °C","3,1 °C","77%","6,9 °C","12,5 °C","2,5 °C","4,6 °C","04/11/2021 20:00:00"
"Dukovany","4,2 °C","1,1 °C","80%","6,3 °C","10,2 °C","0,0 °C","8,3 °C","04/11/2021 20:00:00"
"Tušimice","7,3 °C","3,4 °C","76%","6,1 °C","10,1 °C","1,4 °C","6,1 °C","04/11/2021 20:00:00"
"Jičín","7,9 °C","3,5 °C","74%","8,0 °C","10,4 °C","3,7 °C","8,5 °C","04/11/2021 20:00:00"
"Pardubice","8,0 °C","2,7 °C","69%","8,3 °C","11,8 °C","1,7 °C","8,5 °C","04/11/2021 20:00:00"
"Přibyslav","4,7 °C","2,1 °C","83%","6,0 °C","9,1 °C","0,8 °C","8,0 °C","04/11/2021 20:00:00"
"Temelín","4,3 °C","2,2 °C","86%","5,5 °C","8,1 °C","-0,3 °C","5,2 °C","04/11/2021 20:00:00"
"Plzeň-Mikulka","6,5 °C","3,3 °C","80%","6,4 °C","10,8 °C","1,8 °C","5,2 °C","04/11/2021 20:00:00"
"Kocelovice","5,4 °C","2,1 °C","79%","4,8 °C","7,7 °C","-1,0 °C","5,1 °C","04/11/2021 20:00:00"
"Ústí nad Labem","6,0 °C","2,8 °C","80%","7,1 °C","11,5 °C","3,5 °C","6,8 °C","04/11/2021 20:00:00"
"Brno-Tuřany","6,2 °C","2,3 °C","76%","7,7 °C","11,9 °C","2,9 °C","8,2 °C","04/11/2021 20:00:00"
"Přimda","2,7 °C","2,6 °C","99%","3,8 °C","5,4 °C","2,0 °C","3,2 °C","04/11/2021 20:00:00"
